ingredient,calories,protein,carbs,fat,fiber
cauliflower,24.0,2.35,4.71,0.0,2.4
chickpea flour,400.0,16.7,70.0,5.0,16.7
rice flour,346.0,7.69,80.8,0.0,0.0
potato flour,1490.0,6.9,83.1,0.34,5.9
corn starch,350.0,0.0,90.0,0.0,0.0
olive oil,900.0,0.0,0.0,100.0,0.0
salt,0.0,0.0,1330.0,0.0,0.0
water,42.0,0.0,10.8,0.0,0.0
xanthan gum,625.0,0.0,125.0,0.0,0.0
sugar,375.0,0.0,100.0,0.0,0.0
almond flour,600.0,20.0,20.0,53.3,6.7
coconut flour,400.0,13.3,60.0,13.3,33.3
oat flour (gluten-free),179.0,3.2,38.0,1.0,1.4
quinoa flour,0.0,11.9,69.5,6.6,6.3
buckwheat flour,333.0,6.67,73.3,3.33,10.0
lentil flour,111.0,3.68,12.33,5.65,3.4
corn flour,379.0,10.3,75.9,5.17,6.9
potato starch,333.0,0.0,83.3,0.0,0.0
tapioca starch,375.0,0.0,87.5,0.0,0.0
psyllium husk,0.0,0.0,88.9,0.0,0.0
flaxseed meal,500.0,21.4,28.6,42.9,28.6
