ingredient,calories,protein,carbs,fat,fiber,sodium,contains_gluten,contains_allergens
chickpea flour,400.0,16.67,70.0,5.0,16.7,0.0,No,No
white rice flour,375.0,7.5,82.5,0.0,0.0,0.0,No,No
brown rice flour,350.0,7.5,77.5,2.5,5.0,12.0,No,No
tapioca starch,375.0,0.0,87.5,0.0,,300.0,No,No
potato starch,333.0,0.0,83.33,0.0,0.0,0.0,No,No
corn starch,350.0,0.0,90.0,0.0,,0.0,No,No
xanthan gum,625.0,0.0,125.0,0.0,,3125.0,No,No
guar gum,357.0,0.0,71.43,0.0,71.4,0.0,No,No
water,42.0,0.0,10.83,0.0,,8.0,No,No
olive oil,900.0,0.0,0.0,100.0,0.0,2.0,No,No
coconut oil,895.0,0.0,0.84,99.1,0.0,0.0,No,No
sunflower oil,900.0,0.0,0.0,100.0,0.0,0.0,No,No
sea salt,0.0,0.0,0.0,0.0,,40000.0,No,No
cane sugar,375.0,0.0,100.0,0.0,0.0,0.0,No,No
coconut sugar,375.0,0.0,100.0,0.0,0.0,125.0,No,No
honey,1272.0,0.3,82.4,0.0,0.2,4.0,No,No
maple syrup,333.0,0.0,86.67,0.0,,2.0,No,No
apple cider vinegar,20.0,0.0,0.0,0.0,,0.0,No,No
dry yeast,1361.0,40.44,41.22,7.61,26.9,51.0,No,No
baking powder,0.0,0.0,0.0,0.0,,10000.0,No,No
baking soda,0.0,0.0,0.0,0.0,,26667.0,No,No
chia seeds,486.0,16.5,42.1,30.7,34.4,16.0,No,No
flaxseed meal,500.0,21.43,28.57,42.86,28.6,0.0,No,No
psyllium husk,,0.0,88.89,0.0,,111.0,No,No
almond flour,600.0,20.0,20.0,53.33,6.7,0.0,No,Sí
coconut flour,400.0,13.33,60.0,13.33,33.3,200.0,No,No
quinoa flour,,11.92235,69.52465,6.601,6.295,6.321,No,No
buckwheat flour,333.0,6.67,73.33,3.33,10.0,0.0,No,No
sorghum flour,371.0,8.57,80.0,1.43,5.7,0.0,No,No
teff flour,371.0,11.43,77.14,2.86,5.7,0.0,No,No
millet flour,1597.0,10.75,75.12,4.25,3.5,4.0,No,No
arrowroot starch,344.0,0.0,87.5,0.0,3.1,0.0,No,No
